Date,Sentiment_Score,S&P500,Trading Day?
2024-04-07,"{'neg': 0.12830000000000003, 'pos': 0.05669999999999999, 'neu': 0.8150999999999999, 'compound': -0.19307}",5204.33984375,0.0
2024-04-08,"{'neg': 0.12830000000000003, 'pos': 0.05669999999999999, 'neu': 0.8150999999999999, 'compound': -0.19307}",5202.39013671875,1.0
2024-04-09,"{'neg': 0.0126, 'pos': 0.1312, 'neu': 0.8561, 'compound': 0.40815}",5209.91015625,1.0
2024-04-10,"{'neg': 0.022699999999999998, 'pos': 0.11539999999999999, 'neu': 0.8619, 'compound': 0.28157999999999994}",5160.64013671875,1.0
2024-04-11,"{'neg': 0.0723, 'pos': 0.0696, 'neu': 0.8581, 'compound': 0.055389999999999995}",5199.06005859375,1.0
2024-04-12,"{'neg': 0.058699999999999995, 'pos': 0.0507, 'neu': 0.8906000000000001, 'compound': 0.018080000000000006}",5123.41015625,1.0
2024-04-13,"{'neg': 0.1058, 'pos': 0.05569999999999999, 'neu': 0.8385, 'compound': -0.051739999999999994}",5123.41015625,0.0
2024-04-14,"{'neg': 0.1002, 'pos': 0.052700000000000004, 'neu': 0.8470000000000001, 'compound': -0.25164}",5123.41015625,0.0
2024-04-15,"{'neg': 0.05789999999999999, 'pos': 0.09729999999999998, 'neu': 0.8448, 'compound': 0.09222}",5061.81982421875,1.0
2024-04-16,"{'neg': 0.054299999999999994, 'pos': 0.12029999999999999, 'neu': 0.8253999999999999, 'compound': 0.2794}",5051.41015625,1.0
2024-04-17,"{'neg': 0.0908, 'pos': 0.0634, 'neu': 0.8457000000000001, 'compound': -0.044879999999999996}",5022.2099609375,1.0
2024-04-18,"{'neg': 0.10049999999999999, 'pos': 0.0313, 'neu': 0.8682000000000001, 'compound': -0.23193999999999998}",5011.1201171875,1.0
2024-04-19,"{'neg': 0.0517, 'pos': 0.0897, 'neu': 0.8586, 'compound': 0.17638}",4999.22021484375,1.0
